nombre_completo,dni_nie,cuenta_bancaria,numero_seguridad_social
Lucía López,57116608H,ES7200494330008730989456,28/3456789012
Javier Martínez,Y0833726J,ES7520380528678614675211,28/4567890123
María Sánchez,Y8121101E,ES2601280372217917214614,28/5678901234
Pedro Romero,33550528Z,ES1901829918196148798804,28/6789012345
Laura Torres,53932764H,ES3321000188491870312500,28/7890123456
Diego Navarro,83555302M,ES4502397755822432413929,28/8901234567
Sofía Ruiz,17752806A,ES0720851331018168821307,28/9012345678
Alberto Díaz,19509406R,ES1620801205998655950745,28/1122334455
Elena Martín,79896758W,ES3900812876652524743926,28/2233445566
Miguel Herrera,15718788J,ES0800494828831510913790,28/3344556677
Paula Vargas,22827801W,ES6920386097543577206809,28/4455667788
Sergio Molina,44834003B,ES3401280525796100565377,28/5566778899
Andrea Castro,18502291X,ES2201829852161734687411,28/6677889900
David Ortega,Y9139988D,ES5721009908116619247272,28/7788990011
Carmen Rubio,X3441100R,ES5002395433176757144555,28/8899001122
Iván Serrano,Y1352540Q,ES8020852025293324839146,28/9900112233
Natalia Reyes,33953436P,ES3421036345216649533184,28/1011121314
Raúl Domínguez,39080788Q,ES2820484160785845170943,28/1213141516
